Continente,Total,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,year
África,29041,2436,1848,1927,1802,1529,1825,1882,4560,2323,3468,2714,2727,2006
América Central e Caribe,3546,267,487,292,327,131,341,365,195,109,273,284,475,2006
América do Norte,185680,22308,21452,19147,16439,16175,17453,18185,7638,6671,8444,13120,18648,2006
América do Sul,122387,20200,17108,16375,9654,5217,7126,7645,6083,8914,7563,6937,9565,2006
Ásia,18125,2342,1475,1727,1094,1522,1420,1409,1370,1968,1115,1405,1278,2006
Europa,383954,48406,46838,37574,30838,27093,21577,21939,26013,23534,30014,34778,35350,2006
Oceania,7707,1041,1982,440,429,323,409,439,648,771,416,328,481,2006
África,22477,3946,1668,2057,2052,1203,1081,1760,1792,1667,1977,1912,1362,2007
América Central e Caribe,8721,535,795,673,556,758,513,1678,529,650,664,654,716,2007
América do Norte,166963,18492,15234,15564,11746,12457,14048,15046,13426,11766,11499,11857,15828,2007
América do Sul,176216,24079,16385,18004,13244,10976,10954,18061,14468,12227,11031,10790,15997,2007
Ásia,16193,1479,1541,1494,1543,1048,1127,942,1604,1557,1180,1480,1198,2007
Europa,336645,34603,38227,26696,30242,19976,22514,28184,28890,24926,27146,26571,28670,2007
Oceania,9991,711,1698,735,763,708,613,651,841,1029,562,549,1131,2007
África,21177,2562,1654,1939,1610,1454,1137,1946,1876,1542,2031,1659,1767,2008
América do Norte,151799,15697,14428,16660,12087,11635,11763,11589,11886,10686,10082,10684,14602,2008
América do Sul,186132,23402,21918,24869,12779,11981,12778,14527,13380,14540,11302,10618,14038,2008
Ásia,28417,2815,3024,2860,2235,2172,1754,1512,2331,2421,2161,2932,2200,2008
Europa,342109,41630,40751,36495,25061,20341,19584,29318,29547,22179,23719,24702,28782,2008
Oceania,11672,1996,897,853,911,759,618,820,949,1003,1030,776,1060,2008
África,22600,2748,2857,2856,2014,1814,1299,1378,1467,1524,1612,1509,1522,2009
América Central e Caribe,8829, 655  , 623  , 731  , 646  , 647  , 870  , 692  , 761  , 664  , 960  , 892  , 688  ,2009
América do Norte,184745,19104,16370,21156,13117,11776,16552,14608,16101,11939,12089,15482,16451,2009
América do Sul,267849,28544,28806,30856,21549,18632,14058,18677,18813,21309,23450,23403,19752,2009
Ásia,24836,1699,2187,3607,2060,1377,1581,1402,2040,2109,2071,2242,2461,2009
Europa,362392,42175,34340,42324,34468,24160,19379,22158,32598,21860,26575,34604,27751,2009
Oceania,15068,1568,2017,1627,1153, 981  , 808  ,1001,1054,1281,1377, 974  ,1227,2009
África,21361,2525,2129,2740,1621,1702,1099,1561,1913,1381,1448,1222,2020,2010
América Central e Caribe,8983,473,444,970,606,835,757,779,929,678,926,906,680,2010
América do Norte,196027,13385,16156,18271,17284,11879,18556,14610,19861,11092,15428,17848,21657,2010
América do Sul,292918,33163,30880,34870,22671,19844,13910,22342,21070,20498,26574,19310,27786,2010
Ásia,28642,1755,3400,2915,1767,2330,2058,1762,2305,2563,2041,2270,3476,2010
Europa,363846,31668,38635,41183,19867,19148,17889,27226,29764,31825,29695,34563,42383,2010
Oceania,13688,950,2786,1072,1265,1140,891,669,833,924,1017,747,1394,2010
África,18772,1890,1243,1508,1369,1528,1224,1960,1338,1500,1598,1510,2104,2011
América Central e Caribe,9297,552,546,598,827,725,693,802,651,968,1046,1128,761,2011
América do Norte,190062,11125,15253,23997,14973,14498,14601,15077,14988,12941,15127,16985,20497,2011
América do Sul,323532,34316,36030,30477,26005,19380,17528,22797,21580,24224,29669,30606,30920,2011
Ásia,35937,2443,2975,4069,2713,3437,2488,2758,2777,2545,2803,3613,3316,2011
Europa,387254,31162,36701,37752,33510,23331,21857,29629,27913,23390,31335,41064,49610,2011
Oceania,13488,905,975,2193,1087,1249,655,808,784,898,1118,1242,1574,2011
África,22586,2228,2181,2179,1703,1529,3488,1435,1406,1441,1291,1437,2268,2012
América Central e Caribe,10437,664,477,953,776,763,1306,624,808,774,1314,1109,869,2012
América do Norte,184061,12483,18902,18534,12984,13065,16291,13331,15293,12716,13623,15315,21524,2012
América do Sul,403184,48380,41080,47087,34958,24213,20854,31485,24450,29296,32318,32629,36434,2012
Ásia,55290,3434,6025,4290,3729,3572,7992,3543,4241,4336,4701,5077,4350,2012
Europa,438480,36061,44353,46340,31872,23516,29835,32451,32400,28495,37655,43615,51887,2012
Oceania,18627,1113,2960,1474,1464,1234,1888,878,1093,1391,1633,1429,2070,2012
África,20998,1457,1515,1538,1384,1460,1240,3149,2161,1255,1967,2035,1837,2013
